"location","keyword","geo","gprop","total.hits","end.date","start.date"
"Brisbane","cat flea","AU-QLD","web",100,2018-04-13,2018-04-06
"Harrisville","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Forest Hill","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Woodgate","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Murphys Creek","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Withcott","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Richmond Hill","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Laidley","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Goondiwindi","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Wongabel","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Gympie","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Yeppoon","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Toowoomba","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Hervey Bay","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Maryborough","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Townsville","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Bundaberg","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Rockhampton","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Sunshine Coast","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Cairns","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Gold Coast","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Mackay","cat flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Brisbane","dog flea","AU-QLD","web",100,2018-04-13,2018-04-06
"Drinan","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Balnagowan","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Kin Kin","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Nundubbermere","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Wooroolin","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Emu Park","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Howard","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Allora","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Murphys Creek","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Stanthorpe","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Glenorchy","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Moore Park Beach","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Richmond Hill","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Walkerston","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Lowood","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Kingaroy","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Highfields","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Roma","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Winchester","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Hervey Bay","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Rockhampton","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Bundaberg","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Emerald","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Gladstone","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Maryborough","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Sunshine Coast","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Cairns","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Toowoomba","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Gold Coast","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Townsville","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Plainland","dog flea","AU-QLD","web",0,2018-04-13,2018-04-06
"Brisbane","ctenocephalides","AU-QLD","web",0,2018-04-13,2018-04-06
"Brisbane","removing fleas","AU-QLD","web",0,2018-04-13,2018-04-06
"Bromelton","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Murphys Creek","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Mackay","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Cairns","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Gold Coast","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Brisbane","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Sunshine Coast","flea infestation","AU-QLD","web",0,2018-04-13,2018-04-06
"Roma","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Warwick","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Bundaberg","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Mackay","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Townsville","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Brisbane","flea prevention","AU-QLD","web",0,2018-04-13,2018-04-06
"Sydney","cat flea","AU-NSW","web",100,2018-04-13,2018-04-06
