"location","hits","keyword","geo","gprop","end.date","start.date"
"New Zealand","100","cat flea","world","web",2018-04-13,2018-04-06
"United Kingdom","74","cat flea","world","web",2018-04-13,2018-04-06
"Australia","60","cat flea","world","web",2018-04-13,2018-04-06
"United States","44","cat flea","world","web",2018-04-13,2018-04-06
"Ireland","23","cat flea","world","web",2018-04-13,2018-04-06
"Malaysia","16","cat flea","world","web",2018-04-13,2018-04-06
"Canada","16","cat flea","world","web",2018-04-13,2018-04-06
"South Africa","15","cat flea","world","web",2018-04-13,2018-04-06
"Philippines","12","cat flea","world","web",2018-04-13,2018-04-06
"India","1","cat flea","world","web",2018-04-13,2018-04-06
"Singapore",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Pakistan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Israel",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Hong Kong",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Greece",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Egypt",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Saudi Arabia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Indonesia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Thailand",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Spain",NA,"cat flea","world","web",2018-04-13,2018-04-06
"France",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Germany",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Aruba",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Afghanistan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Angola",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Anguilla",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Åland Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Albania",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Andorra",NA,"cat flea","world","web",2018-04-13,2018-04-06
"United Arab Emirates",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Argentina",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Armenia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"American Samoa",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Antarctica",NA,"cat flea","world","web",2018-04-13,2018-04-06
"French Southern Territories",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Antigua & Barbuda",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Austria",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Azerbaijan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Burundi",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Belgium",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Benin",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Caribbean Netherlands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Burkina Faso",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bangladesh",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bulgaria",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bahrain",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bahamas",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bosnia & Herzegovina",NA,"cat flea","world","web",2018-04-13,2018-04-06
"St. Barthélemy",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Belarus",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Belize",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bermuda",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bolivia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Brazil",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Barbados",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Brunei",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bhutan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Bouvet Island",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Botswana",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Central African Republic",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cocos (Keeling) Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Switzerland",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Chile",NA,"cat flea","world","web",2018-04-13,2018-04-06
"China",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Côte d’Ivoire",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cameroon",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Congo - Kinshasa",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Congo - Brazzaville",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cook Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Colombia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Comoros",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cape Verde",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Costa Rica",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cuba",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Curaçao",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Christmas Island",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cayman Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cyprus",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Czechia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Djibouti",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Dominica",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Denmark",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Dominican Republic",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Algeria",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Ecuador",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Eritrea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Western Sahara",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Estonia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Ethiopia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Finland",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Fiji",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Falkland Islands (Islas Malvinas)",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Faroe Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Micronesia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Gabon",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Georgia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guernsey",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Ghana",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Gibraltar",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guinea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guadeloupe",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Gambia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guinea-Bissau",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Equatorial Guinea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Grenada",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Greenland",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guatemala",NA,"cat flea","world","web",2018-04-13,2018-04-06
"French Guiana",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guam",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Guyana",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Heard & McDonald Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Honduras",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Croatia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Haiti",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Hungary",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Isle of Man",NA,"cat flea","world","web",2018-04-13,2018-04-06
"British Indian Ocean Territory",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Iran",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Iraq",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Iceland",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Italy",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Jamaica",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Jersey",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Jordan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Japan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Kazakhstan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Kenya",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Kyrgyzstan",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Cambodia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Kiribati",NA,"cat flea","world","web",2018-04-13,2018-04-06
"St. Kitts & Nevis",NA,"cat flea","world","web",2018-04-13,2018-04-06
"South Korea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Kuwait",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Laos",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Lebanon",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Liberia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Libya",NA,"cat flea","world","web",2018-04-13,2018-04-06
"St. Lucia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Liechtenstein",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Sri Lanka",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Lesotho",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Lithuania",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Luxembourg",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Latvia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Macau",NA,"cat flea","world","web",2018-04-13,2018-04-06
"St. Martin",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Morocco",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Monaco",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Moldova",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Madagascar",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Maldives",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mexico",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Marshall Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Macedonia (FYROM)",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mali",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Malta",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Myanmar (Burma)",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Montenegro",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mongolia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Northern Mariana Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mozambique",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mauritania",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Montserrat",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Martinique",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mauritius",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Malawi",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Mayotte",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Namibia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"New Caledonia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Niger",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Norfolk Island",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Nigeria",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Nicaragua",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Niue",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Netherlands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Norway",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Nepal",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Nauru",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Oman",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Panama",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Pitcairn Islands",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Peru",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Palau",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Papua New Guinea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Poland",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Puerto Rico",NA,"cat flea","world","web",2018-04-13,2018-04-06
"North Korea",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Portugal",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Paraguay",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Palestine",NA,"cat flea","world","web",2018-04-13,2018-04-06
"French Polynesia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Qatar",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Réunion",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Romania",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Russia",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Rwanda",NA,"cat flea","world","web",2018-04-13,2018-04-06
"Sudan",NA,"cat flea","world","web",2018-04-13,2018-04-06
