"location","hits","keyword","geo","gprop","end.date","start.date"
"Australia","100","paralysis tick","world","web",2018-04-13,2018-04-06
"Philippines","11","paralysis tick","world","web",2018-04-13,2018-04-06
"United States","6","paralysis tick","world","web",2018-04-13,2018-04-06
"Canada","5","paralysis tick","world","web",2018-04-13,2018-04-06
"India","3","paralysis tick","world","web",2018-04-13,2018-04-06
"United Kingdom","2","paralysis tick","world","web",2018-04-13,2018-04-06
"Singapore","1","paralysis tick","world","web",2018-04-13,2018-04-06
"Indonesia","1","paralysis tick","world","web",2018-04-13,2018-04-06
"Mexico","1","paralysis tick","world","web",2018-04-13,2018-04-06
"Italy","<1","paralysis tick","world","web",2018-04-13,2018-04-06
"Gambia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Botswana","","paralysis tick","world","web",2018-04-13,2018-04-06
"Fiji","","paralysis tick","world","web",2018-04-13,2018-04-06
"Namibia","","paralysis tick","world","web",2018-04-13,2018-04-06
"South Africa","","paralysis tick","world","web",2018-04-13,2018-04-06
"Zambia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Libya","","paralysis tick","world","web",2018-04-13,2018-04-06
"Macedonia (FYROM)","","paralysis tick","world","web",2018-04-13,2018-04-06
"Sudan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Moldova","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tanzania","","paralysis tick","world","web",2018-04-13,2018-04-06
"Oman","","paralysis tick","world","web",2018-04-13,2018-04-06
"Nepal","","paralysis tick","world","web",2018-04-13,2018-04-06
"Pakistan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Syria","","paralysis tick","world","web",2018-04-13,2018-04-06
"Egypt","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kenya","","paralysis tick","world","web",2018-04-13,2018-04-06
"Nigeria","","paralysis tick","world","web",2018-04-13,2018-04-06
"Jordan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Ireland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Israel","","paralysis tick","world","web",2018-04-13,2018-04-06
"Costa Rica","","paralysis tick","world","web",2018-04-13,2018-04-06
"Malaysia","","paralysis tick","world","web",2018-04-13,2018-04-06
"United Arab Emirates","","paralysis tick","world","web",2018-04-13,2018-04-06
"Croatia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Iraq","","paralysis tick","world","web",2018-04-13,2018-04-06
"Saudi Arabia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Belarus","","paralysis tick","world","web",2018-04-13,2018-04-06
"Bangladesh","","paralysis tick","world","web",2018-04-13,2018-04-06
"New Zealand","","paralysis tick","world","web",2018-04-13,2018-04-06
"Iran","","paralysis tick","world","web",2018-04-13,2018-04-06
"Chile","","paralysis tick","world","web",2018-04-13,2018-04-06
"Colombia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Poland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Thailand","","paralysis tick","world","web",2018-04-13,2018-04-06
"Netherlands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Turkey","","paralysis tick","world","web",2018-04-13,2018-04-06
